0	23
1	6941
2	2290
3	3741
4	15
5	1186
6	25980
7	78
8	90
9	3350
10	6
11	107
12	150
13	6
14	3
15	2
16	92
17	6209
18	852
19	72
20	179
21	4
22	132
23	32
24	744
25	37
26	403
27	666
28	200
29	280
30	398
31	194
32	787
33	460
34	5943
35	7153
36	409
37	105
38	11
39	192
40	2304
41	189
42	163
43	618
44	2117
45	37
46	2114
47	1530
48	710
49	457
50	1811
51	216
52	318
53	352
54	381
55	207
56	73
57	1549
58	1456
59	2198
60	170
61	536
62	188
63	1016
64	63
65	271
66	145
67	193
68	386
69	146
70	1079
71	40
72	227
73	242
74	766
75	210
76	201
77	36
78	96
79	84
80	37
81	799
82	1624
83	2574
84	1879
85	1744
86	2825
87	2846
88	19
89	5741
90	1523
91	4168
92	91
93	662
94	94
95	13
96	1184
97	83
98	281
99	1277
100	183
101	129
102	863
103	345
104	105
105	1030
106	13
107	110
108	224
109	79
110	652
111	46
112	67
113	45
114	550
115	182
116	178
117	26
118	501
119	463
120	275
121	85
122	510
123	25
124	341
125	448
126	352
127	117
128	7
129	206
130	8
131	53
132	313
133	456
134	47
135	1782
136	166
137	240
138	12
139	8
140	1911
141	317
142	539
143	124
144	31
145	2071
146	82
147	190
148	442
149	88
150	120
151	152
152	88
153	53
154	203
155	1384
156	214
157	344
158	2288
159	1110
160	1108
161	69
162	18
163	127
164	49
165	139
166	25
167	41
168	529
169	102
170	599
171	452
172	14
173	72
174	259
175	219
176	571
177	157
178	556
179	83
180	58
181	559
182	240
183	64
184	293
185	9
186	162
187	255
188	30
189	1303
190	72
191	49
192	377
193	1141
194	1307
195	204
196	8
197	988
198	69
199	68
200	233
201	143
202	514
203	28
204	82
205	404
206	30
207	43
208	22
209	23
210	94
211	23
212	7
213	29
214	723
215	300
216	349
217	94
218	582
219	14
220	167
221	8
222	231
223	7
224	18
225	565
226	104
227	11
228	66
229	144
230	43
231	465
232	150
233	195
234	101
235	1622
236	1338
237	438
238	73
239	353
240	157
241	161
242	227
243	218
244	141
245	103
246	154
247	336
248	11
249	233
250	599
251	9
252	258
253	64
254	67
255	43
256	529
257	82
258	21
259	20
260	85
261	7
262	231
263	439
264	26
265	47
266	112
267	379
268	90
269	480
270	362
271	127
272	370
273	7
274	26
275	42
276	3659
277	63
278	888
279	49
280	440
281	80
282	62
283	48
284	25
285	11
286	143
287	181
288	1516
289	101
290	19
291	25
292	198
293	7
294	192
295	425
296	55
297	7
298	19
299	7
300	108
301	283
302	293
303	13
304	134
305	205
306	378
307	70
308	10
309	12
310	12
311	20
312	61
313	110
314	516
315	125
316	166
317	370
318	87
319	53
320	24
321	143
322	34
323	147
324	73
325	49
326	573
327	244
328	14
329	216
330	317
331	17
332	1321
333	395
334	143
335	103
336	222
337	33
338	312
339	225
340	290
341	28
342	84
343	386
344	626
345	164
346	36
347	77
348	34
349	371
350	48
351	87
352	13
353	125
354	294
355	16
356	11
357	76
358	142
359	15
360	71
361	903
362	60
363	14
364	889
365	228
366	30
367	164
368	198
369	125
370	81
371	114
372	174
373	12
374	72
375	30
376	131
377	85
378	1516
379	45
380	25
381	349
382	335
383	142
384	469
385	117
386	429
387	62
388	1243
389	44
390	22
391	526
392	279
393	21
394	50
395	108
396	648
397	360
398	175
399	59
400	274
401	627
402	177
403	52
404	529
405	86
406	173
407	24
408	125
409	128
410	82
411	272
412	665
413	217
414	213
415	222
416	190
417	404
418	285
419	46
420	158
421	18
422	193
423	97
424	90
425	130
426	160
427	72
428	1046
429	307
430	53
431	105
432	253
433	10
434	125
435	10
436	49
437	387
438	225
439	90
440	77
441	1839
442	38
443	15
444	80
445	16
446	17
447	312
448	41
449	22
450	14
451	148
452	35
453	74
454	18
455	1177
456	35
457	766
458	208
459	15
460	7
461	87
462	75
463	1453
464	691
465	64
466	84
467	354
468	1036
469	493
470	154
471	536
472	27
473	65
474	260
475	314
476	39
477	64
478	10
479	32
480	100
481	182
482	48
483	288
484	56
485	255
486	24
487	1279
488	723
489	343
490	123
491	249
492	149
493	220
494	129
495	32
496	118
497	12
498	176
499	1893
500	1728
501	2525
502	64
503	241
504	874
505	78
506	569
507	31
508	111
509	37
510	587
511	20
512	10
513	55
514	21
515	29
516	48
517	89
518	1483
519	19
520	41
521	7
522	107
523	160
524	176
525	37
526	12
527	7
528	17
529	59
530	76
531	216
532	34
533	70
534	8
535	14
536	97
537	25
538	10
539	271
540	10
541	107
542	220
543	258
544	177
545	109
546	104
547	308
548	239
549	83
550	57
551	995
552	248
553	154
554	74
555	8
556	980
557	248
558	9
559	646
560	204
561	334
562	65
563	21
564	129
565	230
566	24
567	90
568	202
569	10
570	85
571	42
572	116
573	546
574	581
575	69
576	8
577	37
578	126
579	39
580	70
581	34
582	196
583	23
584	16
585	11
586	131
587	7
588	326
589	322
590	57
591	4
592	311
593	447
594	27
595	54
596	33
597	11
598	132
599	28
600	54
601	21
602	818
603	1013
604	44
605	644
606	246
607	202
608	522
609	1216
610	329
611	85
612	40
613	3
614	411
615	235
616	78
617	115
618	159
